EDH,TM_ID,EDCS
"033601","205886","20600178"
"033607","205887","20800612"
"033610","205888","23600100"
"036254","201120","25002167"
"039644","205889","25002174"
"039645","205890","09800706"
"039646","205891","13003440"
"039648","205893","13002195"
"039649","205894","13003441"
"039651","205896","09800708"
"039652","205897","13003443"
"039653","205898","13003444"
"039654","205899","09800709"
"039710","205900","13002196"
"039713","205902","13003447"
"039714","205903","09800710"
"039716","205904","09800711"
"039717","205905","09800712"
"039718","205906","09800713"
"039720","205907","09800714"
"039721","205908","09800715"
"039723","205909","09800716"
"039724","205910","09800717"
"039725","205911","09800718"
"039729","205913","13003448"
"039730","205914","09800720"
"039738","205920","09800725"
"039739","205921","13003445"
"039741","205922","09800726"
"039743","205923","09800727"
"039744","205924","09800728"
"039746","205926","09800730"
"039747","205927","09800731"
"039748","205928","09800732"
"039749","205929","09800733"
"039750","205930","09800734"
"039755","205932","09800736"
"039758","205933","09800737"
"039760","205934","09800738"
"039761","205935","09800740"
"039763","205936","09800741"
"039764","205937","13003449"
"039775","205938","09800742"
"039777","205939","09800743"
"039778","205940","09800744"
"039781","205942","13003451"
"039784","205943","09800745"
"039786","205944","13003452"
"039789","205945","09800746"
"039792","205946","09800747"
"039796","205947","09800748"
"039798","205948","09800749"
"039799","205949","13003453"
"039800","205950","09800750"
"039801","205951","09800751"
"039802","205952","09800752"
"039806","205954","09800753"
"039807","205955","09800754"
"039808","205956","09800755"
"039813","205957","09800756"
"039814","205958","09800757"
"039816","205960","09800759"
"039818","205962","09800761"
"039819","205963","09800762"
"039820","205964","09800763"
"039823","205966","09800765"
"039824","205967","09800766"
"039828","205970","09800768"
"039831","205972","09800770"
"039832","205973","13003456"
"039834","205975","09800772"
"039836","205977","09800774"
"039837","205978","09800775"
"039838","205979","09800776"
"039839","205980","09800777"
"039840","205981","09800778"
"039852","205983","09800780"
"039853","205984","09800781"
"039855","205986","09800784"
"039856","205987","09800785"
"039858","205989","09800787"
"039861","205991","09800789"
"039862","205992","09800790"
"039876","205995","09800793"
"039877","205996","13003457"
"039878","205997","09800794"
"039879","205998","09800795"
"039880","205999","09800796"
"039882","206000","09800797"
"039886","206002","09800799"
"039887","206003","09800800"
"039888","206004","09800801"
"039889","206005","09800802"
"039890","206006","09800803"
"039891","206007","09800804"
"039894","206008","09800805"
"039895","206009","13003458"
"039897","206010","09800806"
